Category,Text Size [MB],Pattern Length,Alphabet Size,Time [ms],Speed [GB/s],Algorithm,Best Algo
rand2,1.0,8,2,4.87,0.20052618069815195,AOSO2,
rand2,1.0,16,2,1.19,0.820640756302521,AOSO2,
rand2,1.0,32,2,0.56,1.743861607142857,AOSO2,AOSO2
rand2,1.0,64,2,0.58,1.683728448275862,AOSO2,AOSO2
rand2,1.0,128,2,0.57,1.7132675438596492,AOSO2,AOSO2
rand2,1.0,256,2,0.67,1.4575559701492535,AOSO2,
rand2,1.0,8,2,5.89,0.16580008488964348,BM,
rand2,1.0,16,2,4.92,0.19848831300813008,BM,
rand2,1.0,32,2,3.33,0.293262012012012,BM,
rand2,1.0,64,2,2.0,0.48828125,BM,
rand2,1.0,128,2,1.71,0.5710891812865497,BM,
rand2,1.0,256,2,1.51,0.6467301324503312,BM,
rand2,1.0,8,2,4.33,0.22553406466512702,BMH-SBNDM,
rand2,1.0,16,2,4.16,0.23475060096153844,BMH-SBNDM,
rand2,1.0,32,2,1.43,0.6829108391608393,BMH-SBNDM,
rand2,1.0,64,2,0.95,1.0279605263157894,BMH-SBNDM,
rand2,1.0,128,2,1.96,0.49824617346938777,BMH-SBNDM,
rand2,1.0,256,2,1.41,0.6925975177304965,BMH-SBNDM,
rand2,1.0,8,2,4.08,0.23935355392156862,BNDM,
rand2,1.0,16,2,1.65,0.5918560606060607,BNDM,
rand2,1.0,32,2,0.68,1.4361213235294117,BNDM,
rand2,1.0,64,2,1.28,0.762939453125,BNDM,
rand2,1.0,128,2,1.19,0.820640756302521,BNDM,
rand2,1.0,256,2,1.21,0.8070764462809917,BNDM,
rand2,1.0,8,2,12.7,0.07689468503937008,FAOSO4,
rand2,1.0,16,2,3.87,0.25234173126614984,FAOSO4,
rand2,1.0,32,2,0.77,1.268262987012987,FAOSO4,
rand2,1.0,64,2,0.62,1.575100806451613,FAOSO4,
rand2,1.0,128,2,1.14,0.8566337719298246,FAOSO4,
rand2,1.0,256,2,0.64,1.52587890625,FAOSO4,
rand2,1.0,8,2,5.5,0.17755681818181818,FS,
rand2,1.0,16,2,4.26,0.2292400234741784,FS,
rand2,1.0,32,2,2.23,0.43792040358744394,FS,
rand2,1.0,64,2,1.77,0.5517302259887006,FS,
rand2,1.0,128,2,1.57,0.622014331210191,FS,
rand2,1.0,256,2,0.91,1.0731456043956042,FS,
rand2,1.0,8,2,4.19,0.2330698090692124,FSBNDM,
rand2,1.0,16,2,1.62,0.6028163580246914,FSBNDM,
rand2,1.0,32,2,1.09,0.8959288990825688,FSBNDM,
rand2,1.0,64,2,0.58,1.683728448275862,FSBNDM,FSBNDM
rand2,1.0,128,2,0.69,1.415307971014493,FSBNDM,
rand2,1.0,256,2,0.59,1.6551906779661019,FSBNDM,FSBNDM
rand2,1.0,8,2,8.48,0.11516067216981131,HOR,
rand2,1.0,16,2,8.5,0.11488970588235294,HOR,
rand2,1.0,32,2,7.75,0.12600806451612903,HOR,
rand2,1.0,64,2,10.24,0.095367431640625,HOR,
rand2,1.0,128,2,10.04,0.0972671812749004,HOR,
rand2,1.0,256,2,9.96,0.09804844377510039,HOR,
rand2,1.0,8,2,0.97,1.0067654639175259,KR,
rand2,1.0,16,2,1.02,0.9574142156862745,KR,
rand2,1.0,32,2,2.1,0.46502976190476186,KR,
rand2,1.0,64,2,1.32,0.7398200757575758,KR,
rand2,1.0,128,2,1.51,0.6467301324503312,KR,
rand2,1.0,256,2,1.05,0.9300595238095237,KR,
rand2,1.0,8,2,5.25,0.18601190476190474,LBNDM,
rand2,1.0,16,2,3.11,0.3140072347266881,LBNDM,
rand2,1.0,32,2,1.3,0.751201923076923,LBNDM,
rand2,1.0,64,2,1.83,0.5336407103825136,LBNDM,
rand2,1.0,128,2,9.11,0.10719676180021954,LBNDM,
rand2,1.0,256,2,21.45,0.04552738927738928,LBNDM,
rand2,1.0,8,2,7.76,0.12584568298969073,RAITA,
rand2,1.0,16,2,9.11,0.10719676180021954,RAITA,
rand2,1.0,32,2,8.24,0.11851486650485438,RAITA,
rand2,1.0,64,2,8.68,0.11250720046082949,RAITA,
rand2,1.0,128,2,8.42,0.1159812945368171,RAITA,
rand2,1.0,256,2,9.57,0.10204414838035528,RAITA,
rand2,1.0,8,2,0.74,1.319679054054054,SO,SO
rand2,1.0,16,2,0.72,1.3563368055555556,SO,SO
rand2,1.0,32,2,0.83,1.176581325301205,SO,
rand2,1.0,64,2,0.68,1.4361213235294117,SO,
rand2,1.0,128,2,0.81,1.2056327160493827,SO,
rand2,1.0,256,2,1.17,0.8346688034188035,SO,
rand2,1.0,8,2,7.55,0.12934602649006624,TW,
rand2,1.0,16,2,7.08,0.13793255649717515,TW,
rand2,1.0,32,2,7.44,0.1312584005376344,TW,
rand2,1.0,64,2,8.12,0.12026631773399016,TW,
