Category,Text Size [MB],Pattern Length,Alphabet Size,Time [ms],Algorithm,Best Algo
rand2,1.0,2,2.0,0.00,AOSO2,
rand2,1.0,4,2.0,14.37,AOSO2,
rand2,1.0,8,2.0,6.56,AOSO2,
rand2,1.0,16,2.0,1.83,AOSO2,
rand2,1.0,32,2.0,1.33,AOSO2,
rand2,1.0,64,2.0,0.90,AOSO2,
rand2,1.0,128,2.0,1.27,AOSO2,
rand2,1.0,256,2.0,0.92,AOSO2,
rand2,1.0,512,2.0,0.96,AOSO2,
rand2,1.0,1024,2.0,0.92,AOSO2,
rand2,1.0,2,2.0,11.48,BM,
rand2,1.0,4,2.0,7.84,BM,
rand2,1.0,8,2.0,5.49,BM,
rand2,1.0,16,2.0,5.04,BM,
rand2,1.0,32,2.0,3.51,BM,
rand2,1.0,64,2.0,2.27,BM,
rand2,1.0,128,2.0,1.84,BM,
rand2,1.0,256,2.0,1.72,BM,
rand2,1.0,512,2.0,1.37,BM,
rand2,1.0,1024,2.0,1.98,BM,
rand2,1.0,2,2.0,12.56,BMH-SBNDM,
rand2,1.0,4,2.0,9.31,BMH-SBNDM,
rand2,1.0,8,2.0,7.20,BMH-SBNDM,
rand2,1.0,16,2.0,3.04,BMH-SBNDM,
rand2,1.0,32,2.0,1.56,BMH-SBNDM,
rand2,1.0,64,2.0,1.61,BMH-SBNDM,
rand2,1.0,128,2.0,2.56,BMH-SBNDM,
rand2,1.0,256,2.0,2.11,BMH-SBNDM,
rand2,1.0,512,2.0,2.38,BMH-SBNDM,
rand2,1.0,1024,2.0,1.70,BMH-SBNDM,
rand2,1.0,2,2.0,9.70,BNDM,
rand2,1.0,4,2.0,9.63,BNDM,
rand2,1.0,8,2.0,4.78,BNDM,
rand2,1.0,16,2.0,2.66,BNDM,
rand2,1.0,32,2.0,1.38,BNDM,
rand2,1.0,64,2.0,0.92,BNDM,
rand2,1.0,128,2.0,1.80,BNDM,
rand2,1.0,256,2.0,0.98,BNDM,
rand2,1.0,512,2.0,1.27,BNDM,
