Category,Text Size [MB],Pattern Length,Alphabet Size,Time [ms],Algorithm,Best Algo
rand2,1.0,8,2,4.87,AOSO2,
rand2,1.0,16,2,1.19,AOSO2,
rand2,1.0,32,2,0.56,AOSO2,AOSO2
rand2,1.0,64,2,0.58,AOSO2,AOSO2
rand2,1.0,128,2,0.57,AOSO2,AOSO2
rand2,1.0,256,2,0.67,AOSO2,
rand2,1.0,8,2,5.89,BM,
rand2,1.0,16,2,4.92,BM,
rand2,1.0,32,2,3.33,BM,
rand2,1.0,64,2,2.0,BM,
rand2,1.0,128,2,1.71,BM,
rand2,1.0,256,2,1.51,BM,
rand2,1.0,8,2,4.33,BMH-SBNDM,
rand2,1.0,16,2,4.16,BMH-SBNDM,
rand2,1.0,32,2,1.43,BMH-SBNDM,
rand2,1.0,64,2,0.95,BMH-SBNDM,
rand2,1.0,128,2,1.96,BMH-SBNDM,
rand2,1.0,256,2,1.41,BMH-SBNDM,
rand2,1.0,8,2,4.08,BNDM,
rand2,1.0,16,2,1.65,BNDM,
rand2,1.0,32,2,0.68,BNDM,
rand2,1.0,64,2,1.28,BNDM,
rand2,1.0,128,2,1.19,BNDM,
rand2,1.0,256,2,1.21,BNDM,
rand2,1.0,8,2,12.7,FAOSO4,
rand2,1.0,16,2,3.87,FAOSO4,
rand2,1.0,32,2,0.77,FAOSO4,
rand2,1.0,64,2,0.62,FAOSO4,
rand2,1.0,128,2,1.14,FAOSO4,
rand2,1.0,256,2,0.64,FAOSO4,
rand2,1.0,8,2,5.5,FS,
rand2,1.0,16,2,4.26,FS,
rand2,1.0,32,2,2.23,FS,
rand2,1.0,64,2,1.77,FS,
rand2,1.0,128,2,1.57,FS,
rand2,1.0,256,2,0.91,FS,
rand2,1.0,8,2,4.19,FSBNDM,
rand2,1.0,16,2,1.62,FSBNDM,
rand2,1.0,32,2,1.09,FSBNDM,
rand2,1.0,64,2,0.58,FSBNDM,FSBNDM
rand2,1.0,128,2,0.69,FSBNDM,
rand2,1.0,256,2,0.59,FSBNDM,FSBNDM
rand2,1.0,8,2,8.48,HOR,
rand2,1.0,16,2,8.5,HOR,
rand2,1.0,32,2,7.75,HOR,
rand2,1.0,64,2,10.24,HOR,
rand2,1.0,128,2,10.04,HOR,
rand2,1.0,256,2,9.96,HOR,
rand2,1.0,8,2,0.97,KR,
rand2,1.0,16,2,1.02,KR,
rand2,1.0,32,2,2.1,KR,
rand2,1.0,64,2,1.32,KR,
rand2,1.0,128,2,1.51,KR,
rand2,1.0,256,2,1.05,KR,
rand2,1.0,8,2,5.25,LBNDM,
rand2,1.0,16,2,3.11,LBNDM,
rand2,1.0,32,2,1.3,LBNDM,
rand2,1.0,64,2,1.83,LBNDM,
rand2,1.0,128,2,9.11,LBNDM,
rand2,1.0,256,2,21.45,LBNDM,
rand2,1.0,8,2,7.76,RAITA,
rand2,1.0,16,2,9.11,RAITA,
rand2,1.0,32,2,8.24,RAITA,
rand2,1.0,64,2,8.68,RAITA,
rand2,1.0,128,2,8.42,RAITA,
rand2,1.0,256,2,9.57,RAITA,
rand2,1.0,8,2,0.74,SO,SO
rand2,1.0,16,2,0.72,SO,SO
rand2,1.0,32,2,0.83,SO,
rand2,1.0,64,2,0.68,SO,
rand2,1.0,128,2,0.81,SO,
rand2,1.0,256,2,1.17,SO,
rand2,1.0,8,2,7.55,TW,
rand2,1.0,16,2,7.08,TW,
rand2,1.0,32,2,7.44,TW,
rand2,1.0,64,2,8.12,TW,
rand2,1.0,128,2,7.28,TW,
rand2,1.0,256,2,7.83,TW,
rand2,2.0,8,2,8.77,AOSO2,
rand2,2.0,16,2,3.05,AOSO2,AOSO2
rand2,2.0,32,2,2.14,AOSO2,
rand2,2.0,64,2,1.73,AOSO2,
rand2,2.0,128,2,1.94,AOSO2,AOSO2
rand2,2.0,256,2,1.69,AOSO2,AOSO2
rand2,2.0,8,2,12.75,BM,
rand2,2.0,16,2,9.93,BM,
rand2,2.0,32,2,7.02,BM,
rand2,2.0,64,2,4.89,BM,
rand2,2.0,128,2,4.53,BM,
rand2,2.0,256,2,3.96,BM,
rand2,2.0,8,2,10.75,BMH-SBNDM,
rand2,2.0,16,2,7.39,BMH-SBNDM,
rand2,2.0,32,2,2.35,BMH-SBNDM,
rand2,2.0,64,2,2.95,BMH-SBNDM,
rand2,2.0,128,2,2.91,BMH-SBNDM,
rand2,2.0,256,2,4.31,BMH-SBNDM,
rand2,2.0,8,2,9.42,BNDM,
rand2,2.0,16,2,4.12,BNDM,
rand2,2.0,32,2,1.9,BNDM,
rand2,2.0,64,2,1.99,BNDM,
rand2,2.0,128,2,2.49,BNDM,
rand2,2.0,256,2,2.37,BNDM,
rand2,2.0,8,2,23.96,FAOSO4,
rand2,2.0,16,2,8.14,FAOSO4,
rand2,2.0,32,2,1.81,FAOSO4,
rand2,2.0,64,2,1.69,FAOSO4,
rand2,2.0,128,2,1.94,FAOSO4,FAOSO4
rand2,2.0,256,2,1.74,FAOSO4,
rand2,2.0,8,2,11.67,FS,
rand2,2.0,16,2,7.94,FS,
rand2,2.0,32,2,6.64,FS,
rand2,2.0,64,2,3.56,FS,
rand2,2.0,128,2,4.21,FS,
rand2,2.0,256,2,2.32,FS,
rand2,2.0,8,2,6.64,FSBNDM,
rand2,2.0,16,2,4.17,FSBNDM,
rand2,2.0,32,2,1.74,FSBNDM,FSBNDM
rand2,2.0,64,2,1.8,FSBNDM,
rand2,2.0,128,2,2.22,FSBNDM,
rand2,2.0,256,2,2.19,FSBNDM,
rand2,2.0,8,2,18.36,HOR,
rand2,2.0,16,2,20.62,HOR,
rand2,2.0,32,2,20.93,HOR,
rand2,2.0,64,2,19.88,HOR,
rand2,2.0,128,2,21.76,HOR,
rand2,2.0,256,2,20.05,HOR,
rand2,2.0,8,2,4.26,KR,
rand2,2.0,16,2,4.29,KR,
rand2,2.0,32,2,3.7,KR,
rand2,2.0,64,2,2.44,KR,
rand2,2.0,128,2,3.27,KR,
rand2,2.0,256,2,2.87,KR,
rand2,2.0,8,2,9.45,LBNDM,
rand2,2.0,16,2,5.8,LBNDM,
rand2,2.0,32,2,3.37,LBNDM,
rand2,2.0,64,2,2.64,LBNDM,
rand2,2.0,128,2,19.86,LBNDM,
rand2,2.0,256,2,39.79,LBNDM,
rand2,2.0,8,2,16.17,RAITA,
rand2,2.0,16,2,16.66,RAITA,
rand2,2.0,32,2,18.32,RAITA,
rand2,2.0,64,2,17.57,RAITA,
rand2,2.0,128,2,18.65,RAITA,
rand2,2.0,256,2,16.03,RAITA,
rand2,2.0,8,2,2.11,SO,SO
rand2,2.0,16,2,3.46,SO,
rand2,2.0,32,2,2.95,SO,
rand2,2.0,64,2,1.37,SO,SO
rand2,2.0,128,2,2.17,SO,
rand2,2.0,256,2,1.83,SO,
rand2,2.0,8,2,17.23,TW,
rand2,2.0,16,2,14.94,TW,
rand2,2.0,32,2,15.84,TW,
rand2,2.0,64,2,16.09,TW,
rand2,2.0,128,2,16.84,TW,
rand2,2.0,256,2,15.7,TW,
rand2,4.0,8,2,20.71,AOSO2,
rand2,4.0,16,2,5.49,AOSO2,
rand2,4.0,32,2,2.94,AOSO2,AOSO2
rand2,4.0,64,2,3.97,AOSO2,AOSO2
rand2,4.0,128,2,4.44,AOSO2,
rand2,4.0,256,2,3.21,AOSO2,
rand2,4.0,8,2,26.32,BM,
rand2,4.0,16,2,18.75,BM,
rand2,4.0,32,2,15.28,BM,
rand2,4.0,64,2,12.17,BM,
rand2,4.0,128,2,7.87,BM,
rand2,4.0,256,2,6.71,BM,
rand2,4.0,8,2,22.72,BMH-SBNDM,
rand2,4.0,16,2,14.15,BMH-SBNDM,
rand2,4.0,32,2,6.32,BMH-SBNDM,
rand2,4.0,64,2,7.32,BMH-SBNDM,
rand2,4.0,128,2,7.64,BMH-SBNDM,
rand2,4.0,256,2,6.7,BMH-SBNDM,
rand2,4.0,8,2,18.89,BNDM,
rand2,4.0,16,2,8.9,BNDM,
rand2,4.0,32,2,4.35,BNDM,
rand2,4.0,64,2,4.88,BNDM,
rand2,4.0,128,2,5.4,BNDM,
rand2,4.0,256,2,4.95,BNDM,
rand2,4.0,8,2,43.9,FAOSO4,
rand2,4.0,16,2,19.91,FAOSO4,
rand2,4.0,32,2,5.0,FAOSO4,
rand2,4.0,64,2,4.01,FAOSO4,
rand2,4.0,128,2,4.14,FAOSO4,
rand2,4.0,256,2,3.11,FAOSO4,FAOSO4
rand2,4.0,8,2,22.76,FS,
rand2,4.0,16,2,17.42,FS,
rand2,4.0,32,2,12.23,FS,
rand2,4.0,64,2,10.28,FS,
rand2,4.0,128,2,8.82,FS,
rand2,4.0,256,2,7.29,FS,
rand2,4.0,8,2,15.53,FSBNDM,
rand2,4.0,16,2,7.9,FSBNDM,
rand2,4.0,32,2,3.89,FSBNDM,
rand2,4.0,64,2,4.3,FSBNDM,
rand2,4.0,128,2,3.43,FSBNDM,FSBNDM
rand2,4.0,256,2,4.73,FSBNDM,
rand2,4.0,8,2,42.47,HOR,
rand2,4.0,16,2,40.88,HOR,
rand2,4.0,32,2,41.84,HOR,
rand2,4.0,64,2,46.35,HOR,
rand2,4.0,128,2,44.17,HOR,
rand2,4.0,256,2,43.32,HOR,
rand2,4.0,8,2,7.43,KR,
rand2,4.0,16,2,5.1,KR,
rand2,4.0,32,2,6.81,KR,
rand2,4.0,64,2,6.69,KR,
rand2,4.0,128,2,7.92,KR,
rand2,4.0,256,2,6.24,KR,
rand2,4.0,8,2,23.07,LBNDM,
rand2,4.0,16,2,10.91,LBNDM,
rand2,4.0,32,2,6.42,LBNDM,
rand2,4.0,64,2,6.42,LBNDM,
rand2,4.0,128,2,36.08,LBNDM,
rand2,4.0,256,2,77.41,LBNDM,
rand2,4.0,8,2,35.87,RAITA,
rand2,4.0,16,2,36.5,RAITA,
